P	T	Feature	Source
-154.54545454545453	210.17644676189542	Tmax	TSEOS
-146.46464646464645	210.67127991014152	Tmax	TSEOS
-138.38383838383837	211.16883420540498	Tmax	TSEOS
-130.30303030303028	211.6618111109255	Tmax	TSEOS
-122.2222222222222	212.15842614212502	Tmax	TSEOS
-114.14141414141412	212.657916580356	Tmax	TSEOS
-106.06060606060606	278.307851058781	Tmax	TSEOS
-97.97979797979798	279.67544011857433	Tmax	TSEOS
-89.8989898989899	280.43701366423574	Tmax	TSEOS
-81.81818181818181	280.94095567583435	Tmax	TSEOS
-73.73737373737373	281.2923638743723	Tmax	TSEOS
-65.65656565656565	281.54304881479317	Tmax	TSEOS
-57.575757575757564	281.7212764924191	Tmax	TSEOS
-49.49494949494948	281.83818349457135	Tmax	TSEOS
-41.4141414141414	281.9087676563052	Tmax	TSEOS
-33.333333333333314	281.94495801531264	Tmax	TSEOS
-25.25252525252523	281.95112625162733	Tmax	TSEOS
-17.171717171717148	281.9314576844402	Tmax	TSEOS
-9.090909090909065	281.8945445864875	Tmax	TSEOS
-1.010101010100982	281.82426377793985	Tmax	TSEOS
7.070707070707101	281.76825265816365	Tmax	TSEOS
15.151515151515184	281.6678115008738	Tmax	TSEOS
23.232323232323267	281.56648124738047	Tmax	TSEOS
31.31313131313135	281.4445136387295	Tmax	TSEOS
39.393939393939434	281.325810079249	Tmax	TSEOS
47.47474747474752	281.18885653218393	Tmax	TSEOS
55.5555555555556	281.0413489789082	Tmax	TSEOS
63.63636363636368	280.8812022553324	Tmax	TSEOS
71.71717171717177	280.71100477978604	Tmax	TSEOS
79.79797979797985	280.52848692135467	Tmax	TSEOS
87.87878787878788	280.3255548539705	Tmax	TSEOS
95.95959595959596	280.1074365692207	Tmax	TSEOS
104.04040404040404	279.8892243189539	Tmax	TSEOS
112.12121212121212	279.64073841411596	Tmax	TSEOS
120.20202020202021	279.3686260441092	Tmax	TSEOS
128.2828282828283	279.0811513778695	Tmax	TSEOS
136.36363636363637	278.79252379130463	Tmax	TSEOS
144.44444444444446	278.43389539387016	Tmax	TSEOS
152.52525252525254	278.05619764520026	Tmax	TSEOS
160.60606060606062	277.67364459502	Tmax	TSEOS
168.6868686868687	277.2419510889655	Tmax	TSEOS
176.7676767676768	276.7708749741047	Tmax	TSEOS
184.84848484848487	276.2631244564719	Tmax	TSEOS
192.92929292929296	275.7024062199099	Tmax	TSEOS
201.01010101010104	275.1023754503509	Tmax	TSEOS
209.09090909090912	274.47342264481824	Tmax	TSEOS
217.1717171717172	273.78418157818027	Tmax	TSEOS
225.2525252525253	272.970357826501	Tmax	TSEOS
233.33333333333337	272.1581640664911	Tmax	TSEOS
241.41414141414145	271.2743806339894	Tmax	TSEOS
249.49494949494954	270.3144288282488	Tmax	TSEOS
257.5757575757576	269.29027302345406	Tmax	TSEOS
265.6565656565657	268.19303261812246	Tmax	TSEOS
273.7373737373738	267.01862550769465	Tmax	TSEOS
281.81818181818187	265.76712262190796	Tmax	TSEOS
289.89898989898995	264.4353189088818	Tmax	TSEOS
297.97979797979804	263.0219975518495	Tmax	TSEOS
306.0606060606061	261.5252614074792	Tmax	TSEOS
314.1414141414142	259.944284221134	Tmax	TSEOS
322.2222222222223	258.2772065748117	Tmax	TSEOS
330.30303030303037	256.5229974225437	Tmax	TSEOS
338.38383838383845	254.68070823259376	Tmax	TSEOS
346.46464646464653	252.7483611247681	Tmax	TSEOS
354.5454545454546	250.72532006830562	Tmax	TSEOS
362.6262626262627	248.60938250175332	Tmax	TSEOS
370.7070707070708	246.39826013893244	Tmax	TSEOS
378.78787878787887	244.0893980680494	Tmax	TSEOS
386.86868686868695	241.67866527179916	Tmax	TSEOS
394.94949494949503	239.16054637886532	Tmax	TSEOS
403.0303030303031	236.53001184713452	Tmax	TSEOS
411.1111111111112	233.77853256814828	Tmax	TSEOS
419.1919191919193	230.89644634807564	Tmax	TSEOS
427.27272727272737	227.87029264375553	Tmax	TSEOS
435.35353535353545	224.68809564215044	Tmax	TSEOS
443.43434343434353	221.33509441034664	Tmax	TSEOS
451.5151515151516	217.79895500696693	Tmax	TSEOS
459.5959595959597	214.06483093491656	Tmax	TSEOS
467.6767676767678	210.19594908195108	Tmax	TSEOS
-106.06060606060606	271.0321018537899	Tmin	TSEOS
-97.97979797979798	268.0115413478482	Tmin	TSEOS
-89.8989898989899	265.55597799615697	Tmin	TSEOS
-81.81818181818181	263.3513394300322	Tmin	TSEOS
-73.73737373737373	261.2864734919086	Tmin	TSEOS
-65.65656565656565	259.3008447159819	Tmin	TSEOS
-57.575757575757564	257.36492531242743	Tmin	TSEOS
-49.49494949494948	255.47082491190503	Tmin	TSEOS
-41.4141414141414	253.58443444652096	Tmin	TSEOS
-33.333333333333314	251.70200302545808	Tmin	TSEOS
